Red,Green,Blue,Name
0,240,144,mediumspringgreen
0,240,160,mediumspringgreen
0,240,176,mediumspringgreen
0,240,192,darkturquoise
0,240,208,darkturquoise
0,240,224,aqua
0,240,240,aqua
16,0,0,black
16,0,16,black
16,0,32,black
16,0,48,black
16,0,64,midnightblue
16,0,80,midnightblue
16,0,96,midnightblue
16,0,112,navy
16,0,128,navy
16,0,144,darkblue
16,0,160,darkblue
16,0,176,mediumblue
16,0,192,mediumblue
16,0,208,mediumblue
16,0,224,mediumblue
16,0,240,blue
16,16,0,black
16,16,16,black
16,16,32,black
16,16,48,black
16,16,64,midnightblue
16,16,80,midnightblue
16,16,96,midnightblue
16,16,112,midnightblue
16,16,128,midnightblue
16,16,144,darkblue
16,16,160,darkblue
16,16,176,mediumblue
16,16,192,mediumblue
16,16,208,mediumblue
16,16,224,mediumblue
16,16,240,blue
16,32,0,black
16,32,16,black
16,32,32,black
16,32,48,black
16,32,64,midnightblue
16,32,80,midnightblue
16,32,96,midnightblue
16,32,112,midnightblue
16,32,128,midnightblue
16,32,144,midnightblue
16,32,160,darkblue
16,32,176,mediumblue
16,32,192,mediumblue
16,32,208,mediumblue
16,32,224,mediumblue
16,32,240,blue
16,48,0,black
16,48,16,black
16,48,32,black
16,48,48,darkslategray
16,48,64,darkslategray
16,48,80,midnightblue
16,48,96,midnightblue
16,48,112,midnightblue
16,48,128,midnightblue
16,48,144,midnightblue
16,48,160,midnightblue
16,48,176,mediumblue
16,48,192,mediumblue
16,48,208,mediumblue
16,48,224,mediumblue
16,48,240,blue
16,64,0,darkgreen
16,64,16,darkgreen
16,64,32,darkgreen
16,64,48,darkslategray
16,64,64,darkslategray
16,64,80,darkslategray
16,64,96,darkslategray
16,64,112,midnightblue
16,64,128,midnightblue
16,64,144,midnightblue
16,64,160,darkslateblue
16,64,176,darkslateblue
16,64,192,mediumblue
16,64,208,mediumblue
16,64,224,royalblue
16,64,240,royalblue
16,80,0,darkgreen
16,80,16,darkgreen
16,80,32,darkgreen
16,80,48,darkslategray
16,80,64,darkslategray
16,80,80,darkslategray
16,80,96,darkslategray
16,80,112,darkslategray
16,80,128,teal
16,80,144,teal
16,80,160,teal
16,80,176,teal
16,80,192,royalblue
16,80,208,royalblue
16,80,224,royalblue
16,80,240,royalblue
16,96,0,darkgreen
16,96,16,darkgreen
16,96,32,darkgreen
16,96,48,darkslategray
16,96,64,darkslategray
16,96,80,darkslategray
16,96,96,darkslategray
16,96,112,teal
16,96,128,teal
16,96,144,teal
16,96,160,teal
16,96,176,darkcyan
16,96,192,royalblue
16,96,208,royalblue
16,96,224,royalblue
16,96,240,royalblue
16,112,0,darkgreen
16,112,16,darkgreen
16,112,32,forestgreen
16,112,48,forestgreen
16,112,64,forestgreen
16,112,80,seagreen
16,112,96,teal
16,112,112,teal
16,112,128,teal
16,112,144,teal
16,112,160,darkcyan
16,112,176,darkcyan
16,112,192,steelblue
16,112,208,royalblue
16,112,224,dodgerblue
16,112,240,dodgerblue
16,128,0,green
16,128,16,green
16,128,32,forestgreen
16,128,48,forestgreen
16,128,64,forestgreen
16,128,80,seagreen
16,128,96,seagreen
16,128,112,teal
16,128,128,teal
16,128,144,darkcyan
16,128,160,darkcyan
16,128,176,darkcyan
16,128,192,steelblue
16,128,208,dodgerblue
16,128,224,dodgerblue
16,128,240,dodgerblue
16,144,0,green
16,144,16,forestgreen
16,144,32,forestgreen
16,144,48,forestgreen
16,144,64,forestgreen
16,144,80,seagreen
16,144,96,seagreen
16,144,112,teal
16,144,128,darkcyan
16,144,144,darkcyan
16,144,160,darkcyan
16,144,176,lightseagreen
16,144,192,lightseagreen
16,144,208,dodgerblue
16,144,224,dodgerblue
16,144,240,dodgerblue
16,160,0,green
16,160,16,forestgreen
16,160,32,forestgreen
16,160,48,forestgreen
16,160,64,forestgreen
16,160,80,seagreen
16,160,96,seagreen
16,160,112,darkcyan
16,160,128,darkcyan
16,160,144,darkcyan
16,160,160,lightseagreen
16,160,176,lightseagreen
16,160,192,lightseagreen
16,160,208,lightseagreen
16,160,224,dodgerblue
16,160,240,dodgerblue
16,176,0,green
16,176,16,forestgreen
16,176,32,forestgreen
16,176,48,forestgreen
16,176,64,limegreen
16,176,80,seagreen
16,176,96,mediumseagreen
16,176,112,mediumseagreen
16,176,128,darkcyan
16,176,144,lightseagreen
16,176,160,lightseagreen
16,176,176,lightseagreen
16,176,192,lightseagreen
16,176,208,darkturquoise
16,176,224,darkturquoise
16,176,240,deepskyblue
16,192,0,limegreen
16,192,16,limegreen
16,192,32,limegreen
16,192,48,limegreen
16,192,64,limegreen
16,192,80,limegreen
16,192,96,mediumseagreen
16,192,112,mediumseagreen
16,192,128,lightseagreen
16,192,144,lightseagreen
16,192,160,lightseagreen
16,192,176,lightseagreen
16,192,192,darkturquoise
16,192,208,darkturquoise
16,192,224,darkturquoise
16,192,240,deepskyblue
16,208,0,lime
16,208,16,limegreen
16,208,32,limegreen
16,208,48,limegreen
16,208,64,limegreen
16,208,80,limegreen
16,208,96,mediumseagreen
16,208,112,springgreen
16,208,128,springgreen
16,208,144,lightseagreen
16,208,160,lightseagreen
16,208,176,lightseagreen
16,208,192,darkturquoise
16,208,208,darkturquoise
16,208,224,darkturquoise
16,208,240,deepskyblue
16,224,0,lime
16,224,16,lime
16,224,32,limegreen
16,224,48,limegreen
16,224,64,limegreen
16,224,80,limegreen
16,224,96,springgreen
16,224,112,springgreen
16,224,128,springgreen
16,224,144,mediumspringgreen
16,224,160,mediumspringgreen
16,224,176,mediumspringgreen
16,224,192,darkturquoise
16,224,208,darkturquoise
16,224,224,darkturquoise
16,224,240,aqua
16,240,0,lime
16,240,16,lime
16,240,32,lime
16,240,48,limegreen
16,240,64,limegreen
16,240,80,springgreen
16,240,96,springgreen
16,240,112,springgreen
16,240,128,springgreen
16,240,144,mediumspringgreen
16,240,160,mediumspringgreen
16,240,176,mediumspringgreen
16,240,192,darkturquoise
16,240,208,darkturquoise
16,240,224,aqua
16,240,240,aqua
32,0,0,black
32,0,16,black
32,0,32,black
32,0,48,black
32,0,64,midnightblue
32,0,80,midnightblue
32,0,96,midnightblue
32,0,112,midnightblue
32,0,128,midnightblue
32,0,144,darkblue
